id,road_team,home_team,total_game_minutes,road_team_final_score,home_team_final_score,road_team_rest,home_team_rest
21701006,Minnesota,Washington,240,116,111,1,2
21701007,Oklahoma City,Atlanta,240,119,107,3IN4-B2B,1
21701008,Toronto,Brooklyn,240,116,102,1,1
21701009,Dallas,New York,240,110,97,3IN4,1
21701010,LA Clippers,Chicago,240,112,106,2,1
21701011,Charlotte,New Orleans,240,115,119,2,1
21701012,Orlando,San Antonio,240,72,108,2,3IN4-B2B
21701013,Detroit,Utah,240,79,110,3+,1
21701014,Cleveland,Phoenix,240,129,107,1,2
21701015,Denver,LA Lakers,240,103,112,1,1
21701016,Milwaukee,Orlando,240,117,126,1,B2B
21701017,Washington,Boston,290,125,124,B2B,2
21701018,Miami,Sacramento,265,119,123,1,3IN4
21701019,LA Lakers,Golden State,240,106,117,3IN4-B2B,2
21701020,Toronto,Indiana,240,106,99,1,1
21701021,Charlotte,Atlanta,240,129,117,1,1
21701022,Philadelphia,New York,240,118,110,1,1
21701023,LA Clippers,Houston,240,96,101,1,2
21701024,Chicago,Memphis,240,111,110,1,2
21701025,New Orleans,San Antonio,240,93,98,1,3IN4
21701026,Detroit,Denver,240,113,120,1,1
21701027,Phoenix,Utah,240,88,116,1,1
21701028,Cleveland,Portland,240,105,113,1,2
21701029,Boston,Orlando,240,92,83,1,3IN4
21701030,Brooklyn,Philadelphia,240,116,120,2,3IN4-B2B
21701031,Dallas,Toronto,265,115,122,2,3IN4-B2B
21701032,LA Clippers,Oklahoma City,240,113,121,3IN4-B2B,2
21701033,Sacramento,Golden State,240,98,93,1,1
21701034,Miami,LA Lakers,240,92,91,1,3IN4
21701035,Indiana,Washington,240,102,109,1,2
21701036,Houston,New Orleans,240,107,101,1,1
21701037,Dallas,Brooklyn,240,106,114,B2B,B2B
21701038,Charlotte,New York,240,101,124,1,1
21701039,Cleveland,Chicago,240,114,109,1,1
21701040,Denver,Memphis,240,94,101,1,1
21701041,Atlanta,Milwaukee,240,117,122,1,2
21701042,Minnesota,San Antonio,240,101,117,3+,1
21701043,Sacramento,Utah,240,97,103,3IN4-B2B,1
21701044,Golden State,Phoenix,240,124,109,3IN4-B2B,1
21701045,Detroit,Portland,240,87,100,1,1
21701046,Oklahoma City,Toronto,240,132,125,1,3IN4
21701047,Boston,New Orleans,240,89,108,1,3IN4-B2B
21701048,Houston,Minnesota,240,129,120,3IN4-B2B,B2B
21701049,Portland,LA Clippers,240,122,109,3IN4-B2B,3IN4
21701050,Milwaukee,Cleveland,240,117,124,1,1
21701051,LA Lakers,Indiana,240,100,110,2,1
21701052,Charlotte,Philadelphia,240,94,108,1,2
21701053,Memphis,Brooklyn,240,115,118,1,3IN4
21701054,Denver,Miami,290,141,149,1,2
21701055,Chicago,New York,240,92,110,1,1
21701056,Golden State,San Antonio,240,75,89,3IN4,1
21701057,Detroit,Sacramento,240,106,90,1,3IN4
21701058,Toronto,Orlando,240,93,86,1,3+
21701059,Oklahoma City,Boston,240,99,100,1,1
21701060,LA Clippers,Minnesota,240,109,123,1,3IN4
21701061,Dallas,New Orleans,240,105,115,2,3IN4
21701062,Atlanta,Utah,240,99,94,2,2
21701063,Detroit,Phoenix,240,115,88,3IN4-B2B,2
21701064,Houston,Portland,240,115,111,3IN4,3IN4
21700809,Indiana,New Orleans,240,92,96,1,4IN5-B2B
21701065,Toronto,Cleveland,240,129,132,3IN4-B2B,1
21701066,Memphis,Philadelphia,240,105,119,1,1
21701067,Charlotte,Brooklyn,240,111,105,1,1
21701068,New York,Miami,240,98,119,1,1
21701069,Denver,Chicago,240,135,102,1,1
21701070,LA Clippers,Milwaukee,240,127,120,3IN4-B2B,1
21701071,Washington,San Antonio,240,90,98,3+,1
21701072,Memphis,Charlotte,240,79,140,3IN4-B2B,3IN4-B2B
21701073,Philadelphia,Orlando,240,118,98,3IN4-B2B,1
21701074,Detroit,Houston,265,96,100,3IN4,1
21701075,LA Lakers,New Orleans,240,125,128,2,5IN6-B2B2B
21701076,Utah,Dallas,240,119,112,1,1
21701077,Atlanta,Sacramento,240,90,105,1,2
21701078,LA Clippers,Indiana,240,104,109,3IN4,1
21701079,Denver,Washington,240,108,100,1,1
21701080,Phoenix,Cleveland,240,95,120,2,1
21701081,Minnesota,New York,240,108,104,2,1
21701082,Brooklyn,Toronto,240,112,116,1,3IN4
21701083,Milwaukee,Chicago,240,118,105,1,1
21701084,Miami,Oklahoma City,240,99,105,1,2
21701085,Utah,San Antonio,265,120,124,3IN4-B2B,1
21701086,Boston,Portland,240,105,100,2,2
21701087,Atlanta,Golden State,240,94,106,3IN4-B2B,3+
21701088,Minnesota,Philadelphia,240,108,120,B2B,3IN4
21701089,Chicago,Detroit,240,95,117,3IN4-B2B,1
21701090,Phoenix,Orlando,240,99,105,B2B,1
21701091,New Orleans,Houston,240,91,114,4IN5,1
21701092,LA Lakers,Memphis,240,100,93,1,3IN4
21701093,Charlotte,Dallas,240,102,98,3IN4,1
21701094,Cleveland,Brooklyn,240,121,114,1,1
21701095,San Antonio,Milwaukee,240,103,106,1,1
21701096,Miami,Indiana,265,107,113,1,1
21701097,LA Clippers,Toronto,240,117,106,1,1
21701098,New York,Washington,240,101,97,1,1
21701099,Boston,Sacramento,240,104,93,1,2
21701100,Portland,Oklahoma City,240,108,105,1,1
21701101,Atlanta,Houston,240,99,118,3IN4,3IN4-B2B
21701102,Utah,Golden State,240,110,91,3IN4,1
21701103,New York,Charlotte,265,128,137,3IN4-B2B,1
21701104,LA Lakers,Detroit,240,106,112,1,1
21701105,Denver,Philadelphia,240,104,123,2,1
21701106,Memphis,Minnesota,240,101,93,1,3IN4
21701107,Boston,Phoenix,240,102,94,3IN4-B2B,3IN4
21701108,San Antonio,Washington,240,106,116,1,1
21701109,Denver,Toronto,240,110,114,B2B,1
21701110,Cleveland,Miami,240,79,98,1,1
21701111,Chicago,Houston,240,86,118,2,3IN4
21701112,Portland,New Orleans,240,107,103,1,2
21701113,Dallas,Sacramento,240,103,97,2,1
21701114,Indiana,Golden State,240,92,81,1,1
21701115,Milwaukee,LA Clippers,240,98,105,1,1
21701116,Cleveland,Charlotte,240,118,105,3IN4-B2B,1
21701117,Brooklyn,Orlando,240,111,104,2,3+
21701118,New York,Philadelphia,240,101,118,3IN4,1
21701119,Portland,Memphis,240,103,108,3IN4-B2B,1
21701120,Atlanta,Minnesota,240,114,126,2,1
21701121,Boston,Utah,240,97,94,3IN4,2
21701122,LA Clippers,Phoenix,240,111,99,3IN4-B2B,1
21701123,Dallas,LA Lakers,240,93,103,B2B,1
21701124,Washington,Detroit,240,92,103,1,2
21701125,Chicago,Miami,240,92,103,1,1
21701126,Oklahoma City,San Antonio,240,99,103,3+,1
21701127,Indiana,Sacramento,240,106,103,1,1
21701128,Milwaukee,Golden State,240,116,107,1,1
21701129,Chicago,Orlando,240,90,82,3IN4-B2B,1
21701130,Philadelphia,Atlanta,240,101,91,1,1
21701131,New Orleans,Cleveland,240,102,107,2,3IN4
21701132,Phoenix,Houston,240,103,104,1,2
21701133,Denver,Oklahoma City,265,126,125,2,B2B
21701134,Minnesota,Dallas,240,93,92,1,3IN4
21701135,Memphis,Utah,240,97,107,1,1
21701136,Milwaukee,LA Lakers,265,124,122,3IN4-B2B,1
21701137,LA Clippers,Portland,240,96,105,3IN4,3IN4
21701138,Charlotte,Washington,240,93,107,2,1
21701139,Detroit,New York,240,115,109,1,2
21701140,Toronto,Boston,240,99,110,3+,2
21701141,Brooklyn,Miami,265,110,109,2,1
21701142,Golden State,Sacramento,240,112,96,1,1
21701143,Philadelphia,Charlotte,240,119,102,1,B2B
21701144,Washington,Chicago,240,94,113,3IN4-B2B,3IN4
21701145,Houston,San Antonio,240,83,100,1,2
21701146,Indiana,LA Clippers,240,111,104,2,1
21701147,Orlando,Atlanta,240,88,94,1,1
21701148,Detroit,Brooklyn,240,108,96,3IN4-B2B,B2B
21701149,Dallas,Cleveland,240,87,98,1,1
21701150,Oklahoma City,New Orleans,240,109,104,3IN4,1
21701151,Utah,Minnesota,240,121,97,1,1
21701152,Milwaukee,Denver,265,125,128,3IN4,1
21701153,Phoenix,Golden State,240,107,117,1,3IN4-B2B
21701154,Memphis,Portland,240,98,113,1,1
21701155,Sacramento,LA Lakers,240,84,83,3IN4-B2B,1
21701156,Toronto,Cleveland,240,106,112,2,1
21701157,Brooklyn,Philadelphia,240,95,121,3IN4,1
21701158,Atlanta,Miami,240,98,101,1,2
21701159,Orlando,New York,240,97,73,1,2
21701160,Charlotte,Chicago,240,114,120,3IN4,1
21701161,Washington,Houston,240,104,120,3IN4,1
21701162,Boston,Milwaukee,240,102,106,2,1
21701163,Golden State,Oklahoma City,240,111,107,3IN4,1
21701164,Portland,Dallas,240,109,115,1,1
21701165,Indiana,Denver,240,104,107,1,1
21701166,LA Lakers,Utah,240,110,117,1,1
21701167,Sacramento,Phoenix,240,94,97,3IN4,1
21701168,San Antonio,LA Clippers,240,110,113,1,1
21701169,Philadelphia,Detroit,240,115,108,3IN4-B2B,2
21701170,Dallas,Orlando,240,100,105,3IN4-B2B,3IN4-B2B
21701171,Boston,Toronto,240,78,96,B2B,B2B
21701172,Miami,Atlanta,240,115,86,B2B,3IN4-B2B
21701173,Memphis,New Orleans,240,95,123,2,2
21701174,San Antonio,LA Lakers,265,112,122,3IN4-B2B,3IN4-B2B
21701175,Golden State,Indiana,240,106,126,1,1
21701176,Washington,Cleveland,240,115,119,1,1
21701177,Portland,Houston,240,94,96,1,1
21701178,Brooklyn,Milwaukee,240,119,111,1,1
21701179,LA Clippers,Utah,240,95,117,1,1
21701180,Minnesota,Denver,240,96,100,3+,1
21701181,Dallas,Detroit,265,106,113,3IN4,1
21701182,Charlotte,Orlando,240,137,100,2,3IN4
21701183,Cleveland,Philadelphia,240,130,132,3IN4-B2B,3IN4
21701184,Atlanta,Washington,240,103,97,3IN4,3IN4-B2B
21701185,Chicago,Boston,240,104,111,2,3IN4
21701186,Miami,New York,240,98,122,3IN4,2
21701187,Indiana,Toronto,240,73,92,3IN4-B2B,3IN4
21701188,Sacramento,Memphis,240,94,93,2,1
21701189,New Orleans,Phoenix,240,122,103,1,2
21701190,Minnesota,LA Lakers,240,113,96,B2B,3IN4
21701191,Denver,LA Clippers,240,134,115,1,1
21701192,Milwaukee,New York,240,115,102,1,B2B
21701193,Brooklyn,Chicago,240,124,96,1,B2B
21701194,Oklahoma City,Houston,240,108,102,3+,1
21701195,New Orleans,Golden State,240,126,120,3IN4-B2B,1
21701196,Portland,San Antonio,240,105,116,1,2
21701197,Indiana,Charlotte,240,123,117,3IN4,1
21701198,Dallas,Philadelphia,240,97,109,1,1
21701199,Detroit,Memphis,240,117,130,1,1
21701200,Orlando,Toronto,240,101,112,1,1
21701201,Utah,LA Lakers,240,112,97,2,1
21701202,Atlanta,Boston,240,112,106,1,1
21701203,Golden State,Phoenix,240,117,100,3IN4-B2B,1
21701204,Toronto,Detroit,240,108,98,3IN4-B2B,3IN4-B2B
21701205,Chicago,Brooklyn,240,105,114,3IN4,1
21701206,Oklahoma City,Miami,240,115,93,1,2
21701207,Cleveland,New York,240,123,109,2,3IN4
21701208,Orlando,Milwaukee,240,86,102,3IN4-B2B,1
21701209,Memphis,Minnesota,240,94,113,3IN4-B2B,2
21701210,Sacramento,San Antonio,240,85,98,2,1
21701211,Portland,Denver,240,82,88,1,1
21701212,New Orleans,LA Clippers,240,113,100,3IN4,1
21701213,Charlotte,Indiana,240,119,93,1,1
21701214,Philadelphia,Atlanta,240,121,113,1,1
21701215,Boston,Washington,240,101,113,1,3+
21701216,Phoenix,Dallas,240,124,97,1,1
21701217,Golden State,Utah,240,79,119,3IN4,1
21701218,Houston,LA Lakers,240,105,99,2,1
21701219,Brooklyn,Boston,240,97,110,1,3IN4-B2B
21701220,New York,Cleveland,240,110,98,1,1
21701221,Toronto,Miami,265,109,116,3IN4,1
21701222,Washington,Orlando,240,92,101,B2B,3IN4
21701223,Milwaukee,Philadelphia,240,95,130,1,3IN4-B2B
21701224,Detroit,Chicago,240,119,87,3IN4,1
21701225,Denver,Minnesota,265,106,112,1,1
21701226,San Antonio,New Orleans,240,98,122,1,1
21701227,Memphis,Oklahoma City,240,123,137,3IN4,1
21701228,LA Lakers,LA Clippers,240,115,100,3IN4-B2B,1
21701229,Utah,Portland,240,93,102,3IN4-B2B,1
21701230,Houston,Sacramento,240,83,96,B2B,1
41700101,Washington,Toronto,240,106,114,2,2
41700121,Miami,Philadelphia,240,103,130,2,2
41700151,San Antonio,Golden State,240,92,113,2,3+
41700161,New Orleans,Portland,240,97,95,2,2
41700111,Milwaukee,Boston,265,107,113,3+,3+
41700131,Indiana,Cleveland,240,98,80,3+,3+
41700141,Minnesota,Houston,240,101,104,3+,3+
41700171,Utah,Oklahoma City,240,108,116,3+,3+
41700122,Miami,Philadelphia,240,113,103,1,1
41700152,San Antonio,Golden State,240,101,116,1,1
41700102,Washington,Toronto,240,119,130,2,2
41700112,Milwaukee,Boston,240,106,120,1,1
41700162,New Orleans,Portland,240,111,102,2,2
41700132,Indiana,Cleveland,240,97,100,2,2
41700142,Minnesota,Houston,240,82,102,2,2
41700172,Utah,Oklahoma City,240,102,95,2,2
41700123,Philadelphia,Miami,240,128,108,2,2
41700153,Golden State,San Antonio,240,110,97,2,2
41700163,Portland,New Orleans,240,102,119,1,1
41700103,Toronto,Washington,240,103,122,2,2
41700113,Boston,Milwaukee,240,92,116,2,2
41700133,Cleveland,Indiana,240,90,92,1,1
41700124,Philadelphia,Miami,240,106,102,1,1
41700143,Houston,Minnesota,240,105,121,2,2
41700164,Portland,New Orleans,240,123,131,1,1
41700173,Oklahoma City,Utah,240,102,115,2,2
41700104,Toronto,Washington,240,98,106,1,1
41700114,Boston,Milwaukee,240,102,104,1,1
41700134,Cleveland,Indiana,240,104,100,1,1
41700154,Golden State,San Antonio,240,90,103,2,2
41700144,Houston,Minnesota,240,119,100,1,1
41700174,Oklahoma City,Utah,240,96,113,1,1
41700115,Milwaukee,Boston,240,87,92,1,1
41700125,Miami,Philadelphia,240,91,104,2,2
41700155,San Antonio,Golden State,240,91,99,1,1
41700105,Washington,Toronto,240,98,108,2,2
41700135,Indiana,Cleveland,240,95,98,2,2
41700145,Minnesota,Houston,240,104,122,1,1
41700175,Utah,Oklahoma City,240,99,107,1,1
41700116,Boston,Milwaukee,240,86,97,1,1
41700106,Toronto,Washington,240,102,92,1,1
41700136,Cleveland,Indiana,240,87,121,1,1
41700176,Oklahoma City,Utah,240,91,96,1,1
41700117,Milwaukee,Boston,240,96,112,1,1
41700231,New Orleans,Golden State,240,101,123,3+,3+
41700137,Indiana,Cleveland,240,101,105,1,1
41700221,Utah,Houston,240,96,110,1,3+
41700211,Philadelphia,Boston,240,101,117,3+,1
41700201,Cleveland,Toronto,265,113,112,1,3+
41700232,New Orleans,Golden State,240,116,121,2,2
41700222,Utah,Houston,240,116,108,2,2
41700202,Cleveland,Toronto,240,128,110,1,1
41700212,Philadelphia,Boston,240,103,108,2,2
41700223,Houston,Utah,240,113,92,1,1
41700233,Golden State,New Orleans,240,100,119,2,2
41700203,Toronto,Cleveland,240,103,105,1,1
41700213,Boston,Philadelphia,265,101,98,1,1
41700224,Houston,Utah,240,100,87,1,1
41700234,Golden State,New Orleans,240,118,92,1,1
41700204,Toronto,Cleveland,240,93,128,1,1
41700214,Boston,Philadelphia,240,92,103,1,1
41700225,Utah,Houston,240,102,112,1,1
41700235,New Orleans,Golden State,240,104,113,1,1
41700215,Philadelphia,Boston,240,112,114,1,1
41700301,Cleveland,Boston,240,83,108,3+,3+
41700311,Golden State,Houston,240,119,106,3+,3+
41700302,Cleveland,Boston,240,94,107,1,1
41700312,Golden State,Houston,240,105,127,1,1
41700303,Boston,Cleveland,240,86,116,3+,3+
41700313,Houston,Golden State,240,85,126,3+,3+
41700304,Boston,Cleveland,240,102,111,1,1
41700314,Houston,Golden State,240,95,92,1,1
41700305,Cleveland,Boston,240,83,96,1,1
41700315,Golden State,Houston,240,94,98,1,1
41700306,Boston,Cleveland,240,99,109,1,1
41700316,Houston,Golden State,240,86,115,1,1
41700307,Cleveland,Boston,240,87,79,1,1
41700317,Golden State,Houston,240,101,92,1,1
41700401,Cleveland,Golden State,265,114,124,3+,2
41700402,Cleveland,Golden State,240,103,122,2,2
41700403,Golden State,Cleveland,240,110,102,2,2
41700404,Golden State,Cleveland,240,108,85,1,1
