id,road_team,home_team,total_game_minutes,road_team_final_score,home_team_final_score,road_team_rest,home_team_rest
21700195,Atlanta,New Orleans,240,105,106,3IN4,1
21700196,LA Lakers,Phoenix,240,100,93,1,3IN4
21700197,Minnesota,Utah,240,109,98,1,3IN4
21700198,Denver,Portland,240,82,99,1,2
21700199,Orlando,Golden State,240,100,110,3IN4,1
21700200,Philadelphia,LA Clippers,240,109,105,1,3IN4
21700201,Boston,Brooklyn,240,109,102,1,2
21700202,Toronto,Houston,240,129,113,1,3IN4
21700203,San Antonio,Dallas,240,97,91,2,3IN4
21700204,Sacramento,Atlanta,240,80,126,1,1
21700205,Washington,Miami,240,102,93,1,2
21700206,Utah,New York,240,101,106,1,1
21700207,Cleveland,Charlotte,240,115,107,1,3+
21700208,Indiana,Memphis,240,116,113,2,1
21700209,Detroit,Milwaukee,240,95,99,2,1
21700210,San Antonio,Minnesota,240,86,98,B2B,1
21700211,Toronto,New Orleans,240,125,116,3IN4-B2B,1
21700212,Chicago,Oklahoma City,240,79,92,3+,2
21700213,Orlando,Portland,240,94,99,1,1
21700214,Philadelphia,LA Lakers,240,115,109,1,1
21700215,Golden State,Boston,240,88,92,2,1
21700216,Houston,Phoenix,240,142,116,1,2
21700217,Detroit,Indiana,240,100,107,1,1
21700218,Miami,Washington,240,91,88,1,1
21700219,Utah,Brooklyn,240,107,118,1,2
21700220,LA Clippers,Cleveland,265,113,118,3+,1
21700221,New York,Toronto,240,84,107,1,3IN4
21700222,Charlotte,Chicago,240,120,123,1,1
21700223,Oklahoma City,San Antonio,240,101,104,1,3IN4
21700224,Minnesota,Dallas,240,111,87,1,2
21700225,Portland,Sacramento,240,82,86,1,1
21700226,New Orleans,Denver,240,114,146,1,3+
21700227,Phoenix,LA Lakers,240,122,113,B2B,1
21700228,LA Clippers,Charlotte,240,87,102,B2B,3IN4-B2B
21700229,Utah,Orlando,240,125,85,3IN4-B2B,2
21700230,Boston,Atlanta,240,110,99,1,2
21700231,Golden State,Philadelphia,240,124,116,1,2
21700232,Houston,Memphis,240,105,83,1,2
21700233,Milwaukee,Dallas,240,79,111,2,B2B
21700234,Sacramento,Portland,240,90,102,3IN4-B2B,3IN4-B2B
21700235,Indiana,Miami,240,120,95,1,1
21700236,Golden State,Brooklyn,240,118,111,3IN4-B2B,1
21700237,Washington,Toronto,240,91,100,1,1
21700238,Detroit,Minnesota,240,100,97,1,1
21700239,Chicago,Phoenix,240,105,113,1,3IN4
21700240,Denver,LA Lakers,240,109,127,1,1
21700241,Minnesota,Charlotte,240,102,118,3IN4-B2B,3IN4
21700242,Cleveland,Detroit,240,116,88,2,3IN4-B2B
21700243,Indiana,Orlando,240,105,97,3IN4-B2B,1
21700244,Utah,Philadelphia,240,86,107,3IN4,1
