DATASET,GAME ID,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,BOX SCORE URL
2017-2018 Regular Season,0021700159,11/8/17,7:00 PM,Indiana,Detroit,240,97,114,3IN4-B2B,3+,Box Score
2017-2018 Regular Season,0021700160,11/8/17,7:00 PM,New York,Orlando,240,99,112,3IN4-B2B,2,Box Score
2017-2018 Regular Season,0021700161,11/8/17,8:00 PM,LA Lakers,Boston,240,96,107,2,3IN4,Box Score
2017-2018 Regular Season,0021700162,11/8/17,9:00 PM,Miami,Phoenix,240,126,115,3IN4,3IN4,Box Score
2017-2018 Regular Season,0021700163,11/8/17,10:30 PM,Minnesota,Golden State,240,101,125,2,1,Box Score
2017-2018 Regular Season,0021700164,11/9/17,7:00 PM,LA Lakers,Washington,240,95,111,B2B,1,Box Score
2017-2018 Regular Season,0021700165,11/9/17,7:30 PM,New Orleans,Toronto,240,118,122,1,1,Box Score
2017-2018 Regular Season,0021700166,11/9/17,8:00 PM,Cleveland,Houston,240,113,117,1,3+,Box Score
2017-2018 Regular Season,0021700167,11/9/17,10:00 PM,Philadelphia,Sacramento,240,108,109,1,1,Box Score
2017-2018 Regular Season,0021700168,11/9/17,10:30 PM,Oklahoma City,Denver,240,94,102,1,1,Box Score
2017-2018 Regular Season,0021700169,11/10/17,7:00 PM,Atlanta,Detroit,240,104,111,3+,1,Box Score
2017-2018 Regular Season,0021700170,11/10/17,7:30 PM,Charlotte,Boston,240,87,90,2,1,Box Score
2017-2018 Regular Season,0021700171,11/10/17,8:00 PM,Indiana,Chicago,240,105,87,3IN4,2,Box Score
2017-2018 Regular Season,0021700172,11/10/17,9:00 PM,LA Clippers,Oklahoma City,240,111,120,2,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700173,11/10/17,9:00 PM,Milwaukee,San Antonio,240,94,87,2,2,Box Score
2017-2018 Regular Season,0021700174,11/10/17,9:00 PM,Orlando,Phoenix,240,128,112,1,1,Box Score
2017-2018 Regular Season,0021700175,11/10/17,9:00 PM,Miami,Utah,240,84,74,1,2,Box Score
2017-2018 Regular Season,0021700176,11/10/17,10:00 PM,Brooklyn,Portland,240,101,97,2,2,Box Score
2017-2018 Regular Season,0021700177,11/11/17,7:00 PM,Atlanta,Washington,240,94,113,B2B,1,Box Score
2017-2018 Regular Season,0021700178,11/11/17,7:00 PM,LA Clippers,New Orleans,240,103,111,B2B,1,Box Score
2017-2018 Regular Season,0021700179,11/11/17,8:00 PM,Sacramento,New York,240,91,118,1,2,Box Score
2017-2018 Regular Season,0021700180,11/11/17,8:00 PM,Memphis,Houston,240,96,111,3+,1,Box Score
2017-2018 Regular Season,0021700181,11/11/17,8:30 PM,Cleveland,Dallas,240,111,104,1,3+,Box Score
2017-2018 Regular Season,0021700182,11/11/17,8:30 PM,LA Lakers,Milwaukee,240,90,98,3IN4,B2B,Box Score
2017-2018 Regular Season,0021700183,11/11/17,8:30 PM,Chicago,San Antonio,240,94,133,B2B,B2B,Box Score
2017-2018 Regular Season,0021700184,11/11/17,8:30 PM,Philadelphia,Golden State,240,114,135,1,2,Box Score
2017-2018 Regular Season,0021700185,11/11/17,9:00 PM,Orlando,Denver,240,107,125,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700186,11/11/17,9:00 PM,Minnesota,Phoenix,240,110,118,2,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700187,11/11/17,9:00 PM,Brooklyn,Utah,239.33,106,114,B2B,B2B,Box Score
2017-2018 Regular Season,0021700188,11/12/17,3:30 PM,Toronto,Boston,240,94,95,2,1,Box Score
2017-2018 Regular Season,0021700189,11/12/17,4:00 PM,Miami,Detroit,240,103,112,1,1,Box Score
2017-2018 Regular Season,0021700190,11/12/17,6:00 PM,Houston,Indiana,240,118,95,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700191,11/12/17,7:00 PM,Dallas,Oklahoma City,240,99,112,B2B,3IN4,Box Score
2017-2018 Regular Season,0021700192,11/13/17,7:00 PM,Sacramento,Washington,240,92,110,1,1,Box Score
2017-2018 Regular Season,0021700193,11/13/17,7:30 PM,Cleveland,New York,240,104,101,1,1,Box Score
2017-2018 Regular Season,0021700194,11/13/17,8:00 PM,Memphis,Milwaukee,240,103,110,1,3IN4,Box Score
2017-2018 Regular Season,0021700195,11/13/17,8:00 PM,Atlanta,New Orleans,240,105,106,3IN4,1,Box Score
2017-2018 Regular Season,0021700196,11/13/17,9:00 PM,LA Lakers,Phoenix,240,100,93,1,3IN4,Box Score
2017-2018 Regular Season,0021700197,11/13/17,9:00 PM,Minnesota,Utah,240,109,98,1,3IN4,Box Score
2017-2018 Regular Season,0021700198,11/13/17,10:00 PM,Denver,Portland,240,82,99,1,2,Box Score
2017-2018 Regular Season,0021700199,11/13/17,10:30 PM,Orlando,Golden State,240,100,110,3IN4,1,Box Score
2017-2018 Regular Season,0021700200,11/13/17,10:30 PM,Philadelphia,LA Clippers,240,109,105,1,3IN4,Box Score
2017-2018 Regular Season,0021700201,11/14/17,7:30 PM,Boston,Brooklyn,240,109,102,1,2,Box Score
2017-2018 Regular Season,0021700202,11/14/17,8:00 PM,Toronto,Houston,240,129,113,1,3IN4,Box Score
2017-2018 Regular Season,0021700203,11/14/17,8:30 PM,San Antonio,Dallas,240,97,91,2,3IN4,Box Score
2017-2018 Regular Season,0021700204,11/15/17,7:30 PM,Sacramento,Atlanta,240,80,126,1,1,Box Score
2017-2018 Regular Season,0021700205,11/15/17,7:30 PM,Washington,Miami,240,102,93,1,2,Box Score
2017-2018 Regular Season,0021700206,11/15/17,7:30 PM,Utah,New York,240,101,106,1,1,Box Score
2017-2018 Regular Season,0021700207,11/15/17,8:00 PM,Cleveland,Charlotte,240,115,107,1,3+,Box Score
2017-2018 Regular Season,0021700208,11/15/17,8:00 PM,Indiana,Memphis,240,116,113,2,1,Box Score
2017-2018 Regular Season,0021700209,11/15/17,8:00 PM,Detroit,Milwaukee,240,95,99,2,1,Box Score
